split,index,case_id,source,image_path,mask_path,image_exists,mask_exists,image_shape,mask_shape,image_dim0,image_dim1,image_dim2,mask_dim0,mask_dim1,mask_dim2,image_voxels,mask_voxels,image_spacing,mask_spacing,shape_match,has_label,positive_voxels,total_voxels,positive_ratio,error
train_new,0,IU9,IU,data\images\IU9.nii.gz,data\masks\cyst_iu_9.nii.gz,True,True,320x260x35,320x260x35,320,260,35,320,260,35,2912000,2912000,1x1x7.2,1x1x7.2,True,True,523,2912000,0.00017960164835164835,
train_new,1,NU39,NU,data\images\NU39.nii.gz,data\masks\cyst_nu_39.nii.gz,True,True,320x320x52,320x320x52,320,320,52,320,320,52,5324800,5324800,1.25x1.25x5,1.25x1.25x5,True,True,114,5324800,2.1409254807692308e-05,
train_new,2,NYU0095,NYU,data\images\NYU0095.nii.gz,data\masks\cyst_nyu_0095.nii.gz,True,True,320x290x41,320x290x41,320,290,41,320,290,41,3804800,3804800,1.17188x1.17188x6,1.17188x1.17188x6,True,True,3820,3804800,0.0010039949537426409,
train_new,3,NYU0159,NYU,data\images\NYU0159.nii.gz,data\masks\cyst_nyu_0159.nii.gz,True,True,256x256x54,256x256x54,256,256,54,256,256,54,3538944,3538944,1.36719x1.36719x4.4,1.36719x1.36719x4.4,True,True,1158,3538944,0.00032721625434027775,
train_new,4,NU72,NU,data\images\NU72.nii.gz,data\masks\cyst_nu_72.nii.gz,True,True,512x460x32,512x460x32,512,460,32,512,460,32,7536640,7536640,0.7826x0.7826x7,0.7826x0.7826x7,True,True,769,7536640,0.00010203485903532609,
train_new,5,NU76,NU,data\images\NU76.nii.gz,data\masks\cyst_nu_76.nii.gz,True,True,320x250x32,320x250x32,320,250,32,320,250,32,2560000,2560000,1.125x1.125x7.2,1.125x1.125x7.2,True,True,353,2560000,0.000137890625,
train_new,6,EMC007,EMC,data\images\EMC007.nii.gz,data\masks\cyst_emc_007.nii.gz,True,True,512x512x33,512x512x33,512,512,33,512,512,33,8650752,8650752,0.7617x0.7617x6.6,0.7617x0.7617x6.6,True,True,1819,8650752,0.0002102707371567235,
train_new,7,NU69,NU,data\images\NU69.nii.gz,data\masks\cyst_nu_69.nii.gz,True,True,320x240x40,320x240x40,320,240,40,320,240,40,3072000,3072000,1.15625x1.15625x6,1.15625x1.15625x6,True,True,131,3072000,4.2643229166666666e-05,
train_new,8,NU77,NU,data\images\NU77.nii.gz,data\masks\cyst_nu_77.nii.gz,True,True,256x208x62,256x208x62,256,208,62,256,208,62,3301376,3301376,1.75781x1.75781x5,1.75781x1.75781x5,True,True,682,3301376,0.00020658052884615384,
train_new,9,NU101,NU,data\images\NU101.nii.gz,data\masks\cyst_nu_101.nii.gz,True,True,512x328x50,512x328x50,512,328,50,512,328,50,8396800,8396800,0.78125x0.78125x5,0.78125x0.78125x5,True,True,2659,8396800,0.00031666825457317074,
train_new,10,IU3,IU,data\images\IU3.nii.gz,data\masks\cyst_iu_3.nii.gz,True,True,512x512x47,512x512x47,512,512,47,512,512,47,12320768,12320768,0.7813x0.7813x6,0.7813x0.7813x6,True,True,4233,12320768,0.0003435662452210771,
train_new,11,NU59,NU,data\images\NU59.nii.gz,data\masks\cyst_nu_59.nii.gz,True,True,320x310x58,320x310x58,320,310,58,320,310,58,5753600,5753600,1.25x1.25x5,1.25x1.25x5,True,True,73,5753600,1.2687708565072302e-05,
train_new,12,NYU0029,NYU,data\images\NYU0029.nii.gz,data\masks\cyst_nyu_0029.nii.gz,True,True,512x512x60,512x512x60,512,512,60,512,512,60,15728640,15728640,0.8203x0.8203x4,0.8203x0.8203x4,True,True,11700,15728640,0.000743865966796875,
train_new,13,IU42,IU,data\images\IU42.nii.gz,data\masks\cyst_iu_42.nii.gz,True,True,512x416x36,512x416x36,512,416,36,512,416,36,7667712,7667712,0.703125x0.703125x6.6,0.703125x0.703125x6.6,True,True,3241,7667712,0.00042268149873130344,
train_new,14,CAD234,CAD,data\images\CAD234.nii.gz,data\masks\cyst_cad_234.nii.gz,True,True,256x256x30,256x256x30,256,256,30,256,256,30,1966080,1966080,0.9375x0.9375x4.4,0.9375x0.9375x4.4,True,True,8899,1966080,0.004526265462239583,
train_new,15,NYU0096,NYU,data\images\NYU0096.nii.gz,data\masks\cyst_nyu_0096.nii.gz,True,True,320x260x43,320x260x43,320,260,43,320,260,43,3577600,3577600,1.09375x1.09375x6,1.09375x1.09375x6,True,True,5924,3577600,0.0016558586762075134,
train_new,16,CAD175,CAD,data\images\CAD175.nii.gz,data\masks\cyst_cad_175.nii.gz,True,True,256x256x34,256x256x34,256,256,34,256,256,34,2228224,2228224,0.9375x0.9375x3.3,0.9375x0.9375x3.3,True,True,4306,2228224,0.0019324807559742646,
train_new,17,CAD230,CAD,data\images\CAD230.nii.gz,data\masks\cyst_cad_230.nii.gz,True,True,256x256x29,256x256x29,256,256,29,256,256,29,1900544,1900544,1.09375x1.09375x4.4,1.09375x1.09375x4.4,True,True,3979,1900544,0.002093611092403017,
train_new,18,EMC033,EMC,data\images\EMC033.nii.gz,data\masks\cyst_emc_033.nii.gz,True,True,512x512x37,512x512x37,512,512,37,512,512,37,9699328,9699328,0.918x0.918x6.59999,0.918x0.918x6.59999,True,True,310,9699328,3.1960977090371624e-05,
train_new,19,NU16,NU,data\images\NU16.nii.gz,data\masks\cyst_nu_16.nii.gz,True,True,320x260x44,320x260x44,320,260,44,320,260,44,3660800,3660800,1.25x1.25x6,1.25x1.25x6,True,True,2524,3660800,0.0006894667832167832,
train_new,20,NYU0149,NYU,data\images\NYU0149.nii.gz,data\masks\cyst_nyu_0149.nii.gz,True,True,320x320x37,320x320x37,320,320,37,320,320,37,3788800,3788800,1.09375x1.09375x6,1.09375x1.09375x6,True,True,637,3788800,0.00016812711148648648,
train_new,21,NU169,NU,data\images\NU169.nii.gz,data\masks\cyst_nu_169.nii.gz,True,True,320x280x52,320x280x52,320,280,52,320,280,52,4659200,4659200,1.09375x1.09375x5,1.09375x1.09375x5,True,True,3982,4659200,0.0008546531593406593,
train_new,22,NU15,NU,data\images\NU15.nii.gz,data\masks\cyst_nu_15.nii.gz,True,True,320x280x52,320x280x52,320,280,52,320,280,52,4659200,4659200,1.25x1.25x5,1.25x1.25x5,True,True,1305,4659200,0.00028009100274725273,
train_new,23,MCA45,MCA,data\images\MCA45.nii.gz,data\masks\cyst_mca_45.nii.gz,True,True,512x512x39,512x512x39,512,512,39,512,512,39,10223616,10223616,0.7227x0.7227x7,0.7227x0.7227x7,True,True,4729,10223616,0.00046255649664463143,
train_new,24,MCF42,MCF,data\images\MCF42.nii.gz,data\masks\cyst_mcf_42.nii.gz,True,True,320x320x30,320x320x30,320,320,30,320,320,30,3072000,3072000,0.9375x0.9375x4.4,0.9375x0.9375x4.4,True,True,365,3072000,0.00011881510416666667,
train_new,25,IU40,IU,data\images\IU40.nii.gz,data\masks\cyst_iu_40.nii.gz,True,True,512x416x36,512x416x36,512,416,36,512,416,36,7667712,7667712,0.703125x0.703125x6.6,0.703125x0.703125x6.6,True,True,4019,7667712,0.0005241459251469017,
train_new,26,NYU0022,NYU,data\images\NYU0022.nii.gz,data\masks\cyst_nyu_0022.nii.gz,True,True,320x320x34,320x320x34,320,320,34,320,320,34,3481600,3481600,1.1875x1.1875x5,1.1875x1.1875x5,True,True,24,3481600,6.893382352941177e-06,
train_new,27,NU34,NU,data\images\NU34.nii.gz,data\masks\cyst_nu_34.nii.gz,True,True,320x260x36,320x260x36,320,260,36,320,260,36,2995200,2995200,1.25x1.25x7.2,1.25x1.25x7.2,True,True,394,2995200,0.0001315438034188034,
train_new,28,CAD139,CAD,data\images\CAD139.nii.gz,data\masks\cyst_cad_139.nii.gz,True,True,256x256x40,256x256x40,256,256,40,256,256,40,2621440,2621440,1.17188x1.17188x4.4,1.17188x1.17188x4.4,True,True,6049,2621440,0.0023075103759765624,
train_new,29,CAD232,CAD,data\images\CAD232.nii.gz,data\masks\cyst_cad_232.nii.gz,True,True,256x256x30,256x256x30,256,256,30,256,256,30,1966080,1966080,1.09375x1.09375x4.4,1.09375x1.09375x4.4,True,True,2502,1966080,0.0012725830078125,
train_new,30,NU89,NU,data\images\NU89.nii.gz,data\masks\cyst_nu_89.nii.gz,True,True,512x512x24,512x512x24,512,512,24,512,512,24,6291456,6291456,0.7031x0.7031x9,0.7031x0.7031x9,True,True,952,6291456,0.00015131632486979166,
train_new,31,CAD295,CAD,data\images\CAD295.nii.gz,data\masks\cyst_cad_295.nii.gz,True,True,256x256x44,256x256x44,256,256,44,256,256,44,2883584,2883584,1.13281x1.13281x4.39999,1.13281x1.13281x4.39999,True,True,1420,2883584,0.0004924427379261364,
