split,image_shape,mask_shape,count
test,256x192x27,256x192x27,1
test,256x208x55,256x208x55,1
test,256x224x40,256x224x40,1
test,256x256x30,256x256x30,2
test,256x256x32,256x256x32,4
test,256x256x33,256x256x33,1
test,256x256x34,256x256x34,3
test,256x256x35,256x256x35,1
test,256x256x36,256x256x36,2
test,256x256x37,256x256x37,1
test,256x256x38,256x256x38,1
test,256x256x44,256x256x44,1
test,256x256x45,256x256x45,1
test,256x256x48,256x256x48,1
test,256x256x54,256x256x54,1
test,256x256x55,256x256x55,1
test,256x256x58,256x256x58,1
test,320x220x40,320x220x40,1
test,320x220x45,320x220x45,1
test,320x244x26,320x244x26,1
test,320x244x30,320x244x30,1
test,320x250x44,320x250x44,1
test,320x260x36,320x260x36,1
test,320x260x45,320x260x45,1
test,320x270x40,320x270x40,1
test,320x270x51,320x270x51,1
test,320x280x54,320x280x54,1
test,320x296x54,320x296x54,1
test,320x320x27,320x320x27,1
test,320x320x32,320x320x32,1
test,320x320x33,320x320x33,1
test,320x320x34,320x320x34,1
test,320x320x38,320x320x38,1
test,320x320x40,320x320x40,2
test,320x320x41,320x320x41,1
test,320x320x45,320x320x45,1
test,320x320x46,320x320x46,1
test,320x320x48,320x320x48,1
test,320x320x50,320x320x50,1
test,320x320x52,320x320x52,1
test,320x320x54,320x320x54,1
test,336x336x28,336x336x28,1
test,384x312x44,384x312x44,1
test,384x384x35,384x384x35,1
test,512x352x24,512x352x24,1
test,512x384x35,512x384x35,1
test,512x416x36,512x416x36,2
test,512x416x40,512x416x40,1
test,512x416x50,512x416x50,1
test,512x480x47,512x480x47,1
test,512x512x28,512x512x28,1
test,512x512x30,512x512x30,1
test,512x512x32,512x512x32,4
test,512x512x36,512x512x36,1
test,512x512x38,512x512x38,1
test,512x512x45,512x512x45,1
test,512x512x48,512x512x48,1
test,512x512x50,512x512x50,1
test,512x512x56,512x512x56,1
test,512x512x60,512x512x60,1
test,512x512x61,512x512x61,1
test,528x528x25,528x528x25,1
train_new,256x192x23,256x192x23,1
train_new,256x192x29,256x192x29,1
train_new,256x192x39,256x192x39,1
train_new,256x192x50,256x192x50,1
train_new,256x204x23,256x204x23,1
train_new,256x204x44,256x204x44,1
train_new,256x208x26,256x208x26,1
train_new,256x208x33,256x208x33,1
train_new,256x208x48,256x208x48,1
train_new,256x208x50,256x208x50,1
train_new,256x208x51,256x208x51,1
train_new,256x208x54,256x208x54,1
train_new,256x208x55,256x208x55,2
train_new,256x208x59,256x208x59,1
train_new,256x208x62,256x208x62,2
train_new,256x216x53,256x216x53,1
train_new,256x216x55,256x216x55,1
train_new,256x216x60,256x216x60,1
train_new,256x224x56,256x224x56,1
train_new,256x224x59,256x224x59,1
train_new,256x224x67,256x224x67,1
train_new,256x232x38,256x232x38,1
train_new,256x232x51,256x232x51,1
train_new,256x240x50,256x240x50,1
train_new,256x256x24,256x256x24,3
train_new,256x256x25,256x256x25,2
train_new,256x256x26,256x256x26,1
train_new,256x256x28,256x256x28,2
train_new,256x256x29,256x256x29,1
train_new,256x256x30,256x256x30,20
train_new,256x256x32,256x256x32,4
train_new,256x256x33,256x256x33,2
train_new,256x256x34,256x256x34,13
train_new,256x256x35,256x256x35,2
train_new,256x256x36,256x256x36,5
train_new,256x256x38,256x256x38,3
train_new,256x256x40,256x256x40,8
train_new,256x256x41,256x256x41,1
train_new,256x256x44,256x256x44,3
train_new,256x256x45,256x256x45,1
train_new,256x256x46,256x256x46,1
train_new,256x256x48,256x256x48,1
train_new,256x256x50,256x256x50,1
train_new,256x256x53,256x256x53,1
train_new,256x256x54,256x256x54,2
train_new,256x256x55,256x256x55,1
train_new,256x256x56,256x256x56,1
train_new,256x256x57,256x256x57,1
train_new,256x256x60,256x256x60,3
train_new,256x256x65,256x256x65,1
train_new,256x256x66,256x256x66,1
train_new,320x220x36,320x220x36,1
train_new,320x240x40,320x240x40,2
train_new,320x240x45,320x240x45,1
train_new,320x244x24,320x244x24,1
train_new,320x248x54,320x248x54,1
train_new,320x250x30,320x250x30,1
train_new,320x250x32,320x250x32,1
train_new,320x250x38,320x250x38,1
train_new,320x250x40,320x250x40,1
train_new,320x256x50,320x256x50,1
train_new,320x260x33,320x260x33,1
train_new,320x260x35,320x260x35,7
train_new,320x260x36,320x260x36,1
train_new,320x260x37,320x260x37,1
train_new,320x260x40,320x260x40,3
train_new,320x260x43,320x260x43,1
train_new,320x260x44,320x260x44,1
train_new,320x260x45,320x260x45,1
train_new,320x260x52,320x260x52,1
train_new,320x260x55,320x260x55,1
train_new,320x270x38,320x270x38,1
train_new,320x270x56,320x270x56,1
train_new,320x272x58,320x272x58,1
train_new,320x280x102,320x280x102,1
train_new,320x280x15,320x280x15,1
train_new,320x280x44,320x280x44,1
train_new,320x280x52,320x280x52,2
train_new,320x290x36,320x290x36,1
train_new,320x290x41,320x290x41,1
train_new,320x290x43,320x290x43,1
train_new,320x290x48,320x290x48,1
train_new,320x290x50,320x290x50,1
