split,source,image_shape,count,ratio_in_source
test,AHN,256x224x40,1,0.3333333333333333
test,AHN,320x320x27,1,0.3333333333333333
test,AHN,512x512x36,1,0.3333333333333333
test,CAD,256x256x30,2,0.11764705882352941
test,CAD,256x256x32,4,0.23529411764705882
test,CAD,256x256x33,1,0.058823529411764705
test,CAD,256x256x34,3,0.17647058823529413
test,CAD,256x256x35,1,0.058823529411764705
test,CAD,256x256x36,2,0.11764705882352941
test,CAD,256x256x37,1,0.058823529411764705
test,CAD,256x256x38,1,0.058823529411764705
test,CAD,256x256x44,1,0.058823529411764705
test,CAD,256x256x58,1,0.058823529411764705
test,EMC,256x192x27,1,0.14285714285714285
test,EMC,384x384x35,1,0.14285714285714285
test,EMC,512x352x24,1,0.14285714285714285
test,EMC,512x512x32,3,0.42857142857142855
test,EMC,528x528x25,1,0.14285714285714285
test,IU,336x336x28,1,0.14285714285714285
test,IU,512x384x35,1,0.14285714285714285
test,IU,512x416x36,2,0.2857142857142857
test,IU,512x416x40,1,0.14285714285714285
test,IU,512x512x38,1,0.14285714285714285
test,IU,512x512x45,1,0.14285714285714285
test,MCA,512x512x28,1,0.3333333333333333
test,MCA,512x512x30,1,0.3333333333333333
test,MCA,512x512x48,1,0.3333333333333333
test,MCF,320x320x32,1,0.25
test,MCF,320x320x34,1,0.25
test,MCF,320x320x38,1,0.25
test,MCF,320x320x40,1,0.25
test,NU,256x208x55,1,0.05555555555555555
test,NU,256x256x48,1,0.05555555555555555
test,NU,320x220x45,1,0.05555555555555555
test,NU,320x250x44,1,0.05555555555555555
test,NU,320x260x36,1,0.05555555555555555
test,NU,320x260x45,1,0.05555555555555555
test,NU,320x270x51,1,0.05555555555555555
test,NU,320x280x54,1,0.05555555555555555
test,NU,320x296x54,1,0.05555555555555555
test,NU,320x320x48,1,0.05555555555555555
test,NU,320x320x52,1,0.05555555555555555
test,NU,320x320x54,1,0.05555555555555555
test,NU,384x312x44,1,0.05555555555555555
test,NU,512x416x50,1,0.05555555555555555
test,NU,512x512x32,1,0.05555555555555555
test,NU,512x512x50,1,0.05555555555555555
test,NU,512x512x56,1,0.05555555555555555
test,NU,512x512x61,1,0.05555555555555555
test,NYU,256x256x45,1,0.06666666666666667
test,NYU,256x256x54,1,0.06666666666666667
test,NYU,256x256x55,1,0.06666666666666667
test,NYU,320x220x40,1,0.06666666666666667
test,NYU,320x244x26,1,0.06666666666666667
test,NYU,320x244x30,1,0.06666666666666667
test,NYU,320x270x40,1,0.06666666666666667
test,NYU,320x320x33,1,0.06666666666666667
test,NYU,320x320x40,1,0.06666666666666667
test,NYU,320x320x41,1,0.06666666666666667
test,NYU,320x320x45,1,0.06666666666666667
test,NYU,320x320x46,1,0.06666666666666667
test,NYU,320x320x50,1,0.06666666666666667
test,NYU,512x480x47,1,0.06666666666666667
test,NYU,512x512x60,1,0.06666666666666667
train_new,AHN,256x192x29,1,0.1111111111111111
train_new,AHN,256x204x23,1,0.1111111111111111
train_new,AHN,256x204x44,1,0.1111111111111111
train_new,AHN,256x208x33,1,0.1111111111111111
train_new,AHN,320x320x27,4,0.4444444444444444
train_new,AHN,320x320x29,1,0.1111111111111111
train_new,CAD,256x256x24,2,0.03125
train_new,CAD,256x256x26,1,0.015625
train_new,CAD,256x256x28,2,0.03125
train_new,CAD,256x256x29,1,0.015625
train_new,CAD,256x256x30,18,0.28125
train_new,CAD,256x256x32,4,0.0625
train_new,CAD,256x256x33,1,0.015625
train_new,CAD,256x256x34,13,0.203125
train_new,CAD,256x256x35,2,0.03125
train_new,CAD,256x256x36,5,0.078125
train_new,CAD,256x256x38,3,0.046875
train_new,CAD,256x256x40,7,0.109375
train_new,CAD,256x256x41,1,0.015625
train_new,CAD,256x256x44,3,0.046875
train_new,CAD,256x256x48,1,0.015625
train_new,EMC,256x208x26,1,0.041666666666666664
train_new,EMC,256x256x24,1,0.041666666666666664
train_new,EMC,256x256x25,1,0.041666666666666664
train_new,EMC,256x256x30,1,0.041666666666666664
train_new,EMC,320x320x26,1,0.041666666666666664
train_new,EMC,512x512x25,1,0.041666666666666664
train_new,EMC,512x512x30,3,0.125
train_new,EMC,512x512x31,2,0.08333333333333333
train_new,EMC,512x512x32,1,0.041666666666666664
train_new,EMC,512x512x33,1,0.041666666666666664
train_new,EMC,512x512x34,1,0.041666666666666664
train_new,EMC,512x512x35,1,0.041666666666666664
train_new,EMC,512x512x37,3,0.125
train_new,EMC,512x512x38,1,0.041666666666666664
train_new,EMC,512x512x39,3,0.125
train_new,EMC,512x512x42,2,0.08333333333333333
train_new,IU,320x250x30,1,0.037037037037037035
train_new,IU,320x260x35,6,0.2222222222222222
train_new,IU,320x260x37,1,0.037037037037037035
train_new,IU,336x336x28,1,0.037037037037037035
train_new,IU,352x352x33,1,0.037037037037037035
train_new,IU,512x384x35,1,0.037037037037037035
train_new,IU,512x416x36,5,0.18518518518518517
train_new,IU,512x416x40,1,0.037037037037037035
train_new,IU,512x416x45,6,0.2222222222222222
train_new,IU,512x512x35,1,0.037037037037037035
train_new,IU,512x512x40,1,0.037037037037037035
train_new,IU,512x512x47,1,0.037037037037037035
train_new,IU,512x512x49,1,0.037037037037037035
train_new,MCA,384x324x50,1,0.09090909090909091
train_new,MCA,512x512x30,2,0.18181818181818182
train_new,MCA,512x512x32,3,0.2727272727272727
train_new,MCA,512x512x33,1,0.09090909090909091
train_new,MCA,512x512x34,1,0.09090909090909091
train_new,MCA,512x512x36,1,0.09090909090909091
train_new,MCA,512x512x39,1,0.09090909090909091
train_new,MCA,512x512x40,1,0.09090909090909091
train_new,MCF,256x192x23,1,0.07692307692307693
train_new,MCF,320x320x30,1,0.07692307692307693
train_new,MCF,320x320x32,3,0.23076923076923078
train_new,MCF,320x320x33,1,0.07692307692307693
train_new,MCF,320x320x34,1,0.07692307692307693
train_new,MCF,320x320x36,2,0.15384615384615385
train_new,MCF,320x320x37,1,0.07692307692307693
train_new,MCF,320x320x40,1,0.07692307692307693
train_new,MCF,320x320x42,1,0.07692307692307693
train_new,MCF,512x512x32,1,0.07692307692307693
train_new,NU,256x192x50,1,0.016666666666666666
train_new,NU,256x208x48,1,0.016666666666666666
train_new,NU,256x208x51,1,0.016666666666666666
train_new,NU,256x208x55,2,0.03333333333333333
train_new,NU,256x208x62,1,0.016666666666666666
train_new,NU,256x216x60,1,0.016666666666666666
train_new,NU,256x256x25,1,0.016666666666666666
train_new,NU,256x256x30,1,0.016666666666666666
train_new,NU,256x256x45,1,0.016666666666666666
train_new,NU,256x256x54,1,0.016666666666666666
train_new,NU,256x256x60,2,0.03333333333333333
train_new,NU,256x256x65,1,0.016666666666666666
train_new,NU,320x220x36,1,0.016666666666666666
train_new,NU,320x240x40,1,0.016666666666666666
train_new,NU,320x248x54,1,0.016666666666666666
train_new,NU,320x250x32,1,0.016666666666666666
train_new,NU,320x250x38,1,0.016666666666666666
train_new,NU,320x250x40,1,0.016666666666666666
train_new,NU,320x256x50,1,0.016666666666666666
train_new,NU,320x260x33,1,0.016666666666666666
train_new,NU,320x260x35,1,0.016666666666666666
train_new,NU,320x260x36,1,0.016666666666666666
train_new,NU,320x260x40,2,0.03333333333333333
train_new,NU,320x260x44,1,0.016666666666666666
train_new,NU,320x260x45,1,0.016666666666666666
train_new,NU,320x260x52,1,0.016666666666666666
train_new,NU,320x260x55,1,0.016666666666666666
train_new,NU,320x270x38,1,0.016666666666666666
train_new,NU,320x270x56,1,0.016666666666666666
train_new,NU,320x272x58,1,0.016666666666666666
train_new,NU,320x280x15,1,0.016666666666666666
train_new,NU,320x280x44,1,0.016666666666666666
train_new,NU,320x280x52,2,0.03333333333333333
train_new,NU,320x290x48,1,0.016666666666666666
train_new,NU,320x290x50,1,0.016666666666666666
train_new,NU,320x310x57,1,0.016666666666666666
train_new,NU,320x310x58,1,0.016666666666666666
train_new,NU,320x320x48,2,0.03333333333333333
train_new,NU,320x320x51,2,0.03333333333333333
train_new,NU,320x320x52,1,0.016666666666666666
train_new,NU,320x320x55,2,0.03333333333333333
train_new,NU,320x320x56,1,0.016666666666666666
train_new,NU,320x320x60,2,0.03333333333333333
train_new,NU,384x288x56,1,0.016666666666666666
train_new,NU,384x312x39,1,0.016666666666666666
train_new,NU,384x336x54,1,0.016666666666666666
train_new,NU,512x328x50,1,0.016666666666666666
train_new,NU,512x416x48,1,0.016666666666666666
train_new,NU,512x460x32,1,0.016666666666666666
train_new,NU,512x464x60,1,0.016666666666666666
train_new,NU,512x512x24,1,0.016666666666666666
train_new,NU,512x512x35,1,0.016666666666666666
