split,source,total_samples,unique_image_shapes,unique_mask_shapes,image_dim0_min,image_dim0_p25,image_dim0_median,image_dim0_mean,image_dim0_p75,image_dim0_max,image_dim0_std,image_dim1_min,image_dim1_p25,image_dim1_median,image_dim1_mean,image_dim1_p75,image_dim1_max,image_dim1_std,image_dim2_min,image_dim2_p25,image_dim2_median,image_dim2_mean,image_dim2_p75,image_dim2_max,image_dim2_std,image_voxels_min,image_voxels_p25,image_voxels_median,image_voxels_mean,image_voxels_p75,image_voxels_max,image_voxels_std,positive_voxels_min,positive_voxels_p25,positive_voxels_median,positive_voxels_mean,positive_voxels_p75,positive_voxels_max,positive_voxels_std,positive_ratio_min,positive_ratio_p25,positive_ratio_median,positive_ratio_mean,positive_ratio_p75,positive_ratio_max,positive_ratio_std
test,AHN,3,3,3,256.0,288.0,320.0,362.6666666666667,416.0,512.0,108.77908295664608,224.0,272.0,320.0,352.0,416.0,512.0,119.73303637676612,27.0,31.5,36.0,34.333333333333336,38.0,40.0,5.436502143433364,2293760.0,2529280.0,2764800.0,4831914.666666667,6100992.0,9437184.0,3262090.2189450385,870.0,1783.0,2696.0,5458.333333333333,7752.5,12809.0,5250.891627989374,0.00037928989955357144,0.000677202820147156,0.0009751157407407407,0.0009038987067220913,0.0011662031103063513,0.0013572904798719618,0.00040243026992394366
test,CAD,17,10,10,256.0,256.0,256.0,256.0,256.0,256.0,0.0,256.0,256.0,256.0,256.0,256.0,256.0,0.0,30.0,32.0,34.0,35.705882352941174,36.0,58.0,6.460419817740429,1966080.0,2097152.0,2228224.0,2340020.705882353,2359296.0,3801088.0,423390.07317543676,615.0,2092.0,3044.0,4386.705882352941,5964.0,16608.0,3951.687111999364,0.0002966488108915441,0.0008867051866319445,0.0012459891183035714,0.0018816486172124284,0.0020682594992897725,0.007039388020833333,0.001694987141538992
test,EMC,7,5,5,256.0,448.0,512.0,459.42857142857144,512.0,528.0,94.74003097628666,192.0,368.0,512.0,427.42857142857144,512.0,528.0,116.23480809226167,24.0,26.0,32.0,29.571428571428573,32.0,35.0,3.8861344310672696,1327104.0,4743168.0,6969600.0,6135552.0,8388608.0,8388608.0,2486309.915455777,132.0,161.0,2369.0,6662.428571428572,7173.5,29467.0,9957.21168453359,1.5735626220703125e-05,1.919269561767578e-05,0.0005476980498342803,0.0013624154175497904,0.0023535780595513667,0.004227932736455464,0.0015296022096121739
test,IU,7,6,6,336.0,512.0,512.0,486.85714285714283,512.0,512.0,61.58717067569134,336.0,400.0,416.0,427.42857142857144,464.0,512.0,59.691725061488434,28.0,35.5,36.0,36.857142857142854,39.0,45.0,4.793703353017862,3161088.0,7274496.0,7667712.0,7950774.857142857,9240576.0,11796480.0,2490013.5601693545,772.0,2843.5,3858.0,7784.714285714285,5124.5,33927.0,10770.434448251455,9.061373197115385e-05,0.00031299925687020285,0.000577095227363782,0.0011200817473354919,0.000808266014739229,0.004930332728794643,0.0015754824714578812
test,MCA,3,3,3,512.0,512.0,512.0,512.0,512.0,512.0,0.0,512.0,512.0,512.0,512.0,512.0,512.0,0.0,28.0,29.0,30.0,35.333333333333336,39.0,48.0,8.993825042154695,7340032.0,7602176.0,7864320.0,9262421.333333334,10223616.0,12582912.0,2357677.2718506004,893.0,1045.0,1197.0,4155.0,5786.0,10375.0,4399.95484825318,0.00011355082194010416,0.00013831456502278646,0.00016307830810546875,0.00036705334981282557,0.0004938046137491863,0.0008245309193929037,0.00032411678756598064
test,MCF,4,4,4,320.0,320.0,320.0,320.0,320.0,320.0,0.0,320.0,320.0,320.0,320.0,320.0,320.0,0.0,32.0,33.5,36.0,36.0,38.5,40.0,3.1622776601683795,3276800.0,3430400.0,3686400.0,3686400.0,3942400.0,4096000.0,323817.2324012421,6591.0,6828.75,15025.0,20578.25,28774.5,45672.0,15959.229310574492,0.0018930951286764705,0.0020543895048253675,0.0040277099609375,0.0052747264188878675,0.007248046875,0.011150390625,0.0037562730210140183
test,NU,18,18,18,256.0,320.0,320.0,369.77777777777777,480.0,512.0,91.89580788138728,208.0,260.0,304.0,335.3333333333333,392.0,512.0,104.32854089099706,32.0,45.0,50.0,48.833333333333336,54.0,61.0,6.914156170897181,2928640.0,3576000.0,5015040.0,6539925.333333333,7673856.0,15990784.0,4087069.4688571175,10.0,89.25,347.0,838.0555555555555,858.25,5283.0,1296.101268000915,2.8409090909090907e-06,2.78486121784557e-05,6.627981664602758e-05,9.756463659684006e-05,0.0001317874968998016,0.0003598758152553013,9.332920090003187e-05
test,NYU,15,15,15,256.0,320.0,320.0,332.8,320.0,512.0,74.63618425401984,220.0,256.0,320.0,310.53333333333336,320.0,512.0,80.60592754602824,26.0,40.0,45.0,43.46666666666667,48.5,60.0,9.0249038160464,2030080.0,3164160.0,3604480.0,4941892.266666667,4659200.0,15728640.0,3592854.28356749,16.0,560.0,917.0,1868.9333333333334,2018.0,7688.0,2311.4153086126444,4.6296296296296296e-06,0.0001855372634600006,0.000223876953125,0.0003334310001623068,0.0003603219696969697,0.0014760954483695652,0.00034631869557299864
train_new,AHN,9,6,6,256.0,256.0,320.0,291.55555555555554,320.0,320.0,31.801855679997008,192.0,204.0,320.0,267.55555555555554,320.0,320.0,58.77095108434119,23.0,27.0,27.0,29.555555555555557,29.0,44.0,5.678636595191394,1201152.0,1757184.0,2764800.0,2301155.5555555555,2764800.0,2969600.0,630655.761214928,82.0,206.0,497.0,922.8888888888889,1306.0,2899.0,934.9130018283275,2.9658564814814815e-05,7.55931712962963e-05,0.00021628857508912655,0.0004434030071459327,0.0006257857399425287,0.001649798768939394,0.00048721458198711033
train_new,CAD,64,15,15,256.0,256.0,256.0,256.0,256.0,256.0,0.0,256.0,256.0,256.0,256.0,256.0,256.0,0.0,24.0,30.0,34.0,33.859375,36.0,48.0,4.892172279200213,1572864.0,1966080.0,2228224.0,2219008.0,2359296.0,3145728.0,320613.40248966514,32.0,1161.5,2327.0,4350.125,4600.5,52102.0,7005.119702537209,1.6276041666666666e-05,0.0004980954256924716,0.0010351791880489174,0.00187159144963892,0.0023104667663574217,0.016562779744466145,0.0024697831882539655
train_new,EMC,24,16,16,256.0,512.0,512.0,461.3333333333333,512.0,512.0,99.45629972784808,208.0,512.0,512.0,459.3333333333333,512.0,512.0,103.94656747045036,24.0,30.0,32.5,33.0,37.25,42.0,5.400617248673217,1384448.0,7536640.0,8519680.0,7604224.0,9764864.0,11010048.0,3143213.4394282973,205.0,1035.5,1951.5,5281.833333333333,4982.0,31566.0,8284.943927926664,3.1960977090371624e-05,0.000190825689406622,0.0003954645105310389,0.0006782654647459621,0.0007190797379660106,0.0038843462544102822,0.0009477207224615747
train_new,IU,27,13,13,320.0,320.0,512.0,442.6666666666667,512.0,512.0,90.61436399910868,250.0,260.0,416.0,377.1111111111111,416.0,512.0,87.23290805030852,28.0,35.0,36.0,38.2962962962963,45.0,49.0,5.3873295440238484,2400000.0,2995200.0,7667712.0,6899048.296296297,9584640.0,12845056.0,3241729.458393682,136.0,531.5,1269.0,2791.777777777778,3630.0,11193.0,3247.5708680812304,1.4189369658119659e-05,0.00012458028083028083,0.00021733023566569484,0.0004012307863340646,0.0005138429821047009,0.0014597574869791667,0.0003981849598786201
train_new,MCA,11,8,8,384.0,512.0,512.0,500.3636363636364,512.0,512.0,36.79741277286841,324.0,512.0,512.0,494.90909090909093,512.0,512.0,54.04620001015048,30.0,32.0,33.0,35.27272727272727,37.5,50.0,5.626090344278474,6220800.0,8126464.0,8388608.0,8620497.454545455,9175040.0,10485760.0,1122742.474760827,548.0,1707.5,3292.0,3548.909090909091,4723.0,7819.0,2218.542291872401,6.334709398674242e-05,0.0001740097999572754,0.00046255649664463143,0.00041625305245398506,0.0005644949767815233,0.0008285310533311632,0.0002521305098577329
train_new,MCF,13,10,10,256.0,320.0,320.0,329.84615384615387,320.0,512.0,55.26140140466127,192.0,320.0,320.0,324.9230769230769,320.0,512.0,63.81036995355432,23.0,32.0,33.0,33.76923076923077,36.0,42.0,4.559923180085825,1130496.0,3276800.0,3481600.0,3756977.230769231,3788800.0,8388608.0,1522940.335235664,114.0,1871.0,5125.0,11379.384615384615,11221.0,46394.0,15286.57985362657,9.060329861111111e-05,0.00043503534226190476,0.0013526710304054054,0.0026605796842380097,0.00342437744140625,0.012585177951388889,0.003344157156457791
train_new,NU,60,52,52,256.0,320.0,320.0,327.46666666666664,320.0,512.0,69.21836622040585,192.0,256.0,265.0,287.56666666666666,320.0,512.0,66.913966321605,15.0,40.0,50.0,47.53333333333333,55.0,65.0,10.596330601780139,1344000.0,3064000.0,4272640.0,4561670.4,5401600.0,14254080.0,2144770.191697774,37.0,153.5,330.0,629.6,776.0,3982.0,778.819217362626,1.1849179400113186e-05,4.27542021780303e-05,8.587032903439155e-05,0.00014382397265929564,0.00015280796931340144,0.0008546531593406593,0.00017305700562012774
